time = 5.101039e-04, dt=2.821944e-06, e(0)=1.709842e+06
time = 5.132088e-04, dt=3.104893e-06, e(0)=1.705227e+06
time = 5.163137e-04, dt=3.104893e-06, e(0)=1.700697e+06
time = 5.193852e-04, dt=3.071500e-06, e(0)=1.696296e+06
time = 5.224285e-04, dt=3.043304e-06, e(0)=1.692011e+06
time = 5.254541e-04, dt=3.025593e-06, e(0)=1.687822e+06
time = 5.284729e-04, dt=3.018799e-06, e(0)=1.683710e+06
time = 5.314848e-04, dt=3.011925e-06, e(0)=1.679669e+06
time = 5.344845e-04, dt=2.999652e-06, e(0)=1.675704e+06
time = 5.374813e-04, dt=2.996867e-06, e(0)=1.671798e+06
time = 5.404782e-04, dt=2.996867e-06, e(0)=1.667943e+06
time = 5.434751e-04, dt=2.996867e-06, e(0)=1.664136e+06
time = 5.464719e-04, dt=2.996867e-06, e(0)=1.660372e+06
time = 5.494688e-04, dt=2.996867e-06, e(0)=1.656649e+06
time = 5.524657e-04, dt=2.996867e-06, e(0)=1.652962e+06
time = 5.554625e-04, dt=2.996867e-06, e(0)=1.649308e+06
time = 5.584594e-04, dt=2.996867e-06, e(0)=1.645684e+06
time = 5.614563e-04, dt=2.996867e-06, e(0)=1.642087e+06
time = 5.644531e-04, dt=2.996867e-06, e(0)=1.638513e+06
time = 5.674500e-04, dt=2.996867e-06, e(0)=1.634958e+06
time = 5.704469e-04, dt=2.996867e-06, e(0)=1.631421e+06
time = 5.734040e-04, dt=2.957183e-06, e(0)=1.627946e+06
time = 5.763095e-04, dt=2.905457e-06, e(0)=1.624542e+06
time = 5.791693e-04, dt=2.859755e-06, e(0)=1.621201e+06
time = 5.819894e-04, dt=2.820178e-06, e(0)=1.617913e+06
time = 5.847760e-04, dt=2.786592e-06, e(0)=1.614669e+06
time = 5.875351e-04, dt=2.759069e-06, e(0)=1.611461e+06
time = 5.902736e-04, dt=2.738483e-06, e(0)=1.608278e+06
time = 5.929991e-04, dt=2.725507e-06, e(0)=1.605112e+06
time = 5.957217e-04, dt=2.722655e-06, e(0)=1.601948e+06
time = 5.984444e-04, dt=2.722655e-06, e(0)=1.598784e+06
time = 6.011671e-04, dt=2.722655e-06, e(0)=1.595617e+06
time = 6.038897e-04, dt=2.722655e-06, e(0)=1.592449e+06
time = 6.066124e-04, dt=2.722655e-06, e(0)=1.589277e+06
time = 6.093350e-04, dt=2.722655e-06, e(0)=1.586102e+06
time = 6.120577e-04, dt=2.722655e-06, e(0)=1.582924e+06
